treeID,study,volume_m_21,prediction_m,plot.x,reps,tph,model
62,"Reynolds, VA",0.022516975,0.302565799,3531,3,1853,SVR
25,"Reynolds, VA",0.037040577,0.239291519,2530,2,1853,SVR
32,"Reynolds, VA",0.037675739,0.285380692,2230,2,1853,SVR
62,"Reynolds, VA",0.040776832,0.072598508,4520,4,1236,SVR
23,"Reynolds, VA",0.044281781,0.27953829,1130,1,1853,SVR
7,"Reynolds, VA",0.045767725,0.332323002,1430,1,1853,SVR
5,"Reynolds, VA",0.048528748,0.071027897,4120,4,1236,SVR
50,"Reynolds, VA",0.051143263,0.420219181,2120,2,1236,SVR
12,"Reynolds, VA",0.052933534,0.149312034,2120,2,1236,SVR
76,"Reynolds, VA",0.054976235,0.224904285,2331,2,1853,SVR
60,"Reynolds, VA",0.055147384,0.044308189,4510,4,618,SVR
7,"Reynolds, VA",0.057909856,0.030347629,4110,4,618,SVR
53,"Reynolds, VA",0.060022913,0.160447892,1230,1,1853,SVR
41,"Reynolds, VA",0.061065693,0.198906581,4530,4,1853,SVR
37,"Reynolds, VA",0.062768622,0.327004601,4320,4,1236,SVR
29,"Reynolds, VA",0.064684908,0.137727708,2330,2,1853,SVR
67,"Reynolds, VA",0.06497274,0.241548607,4330,4,1853,SVR
29,"Reynolds, VA",0.066208883,0.220319654,1220,1,1236,SVR
48,"Reynolds, VA",0.070514753,0.226710149,4630,4,1853,SVR
1,"Reynolds, VA",0.071286148,0.120727891,4321,4,1236,SVR
75,"Reynolds, VA",0.07178405,0.189606335,2220,2,1236,SVR
52,"Reynolds, VA",0.073098547,0.163386512,1230,1,1853,SVR
59,"Reynolds, VA",0.073122613,0.190296028,2121,2,1236,SVR
62,"Reynolds, VA",0.074444266,0.4112527,1431,1,1853,SVR
49,"Reynolds, VA",0.075912179,0.213313652,4530,4,1853,SVR
21,"Reynolds, VA",0.076328792,0.062359405,1220,1,1236,SVR
10,"Reynolds, VA",0.076943691,0.108889577,2510,2,618,SVR
16,"Reynolds, VA",0.077086244,0.134504369,3330,3,1853,SVR
48,"Reynolds, VA",0.077441832,0.295807584,2130,2,1853,SVR
66,"Reynolds, VA",0.077480963,0.301325957,3331,3,1853,SVR
36,"Reynolds, VA",0.077698849,0.100503484,2110,2,618,SVR
49,"Reynolds, VA",0.077787497,0.170653303,3420,3,1236,SVR
34,"Reynolds, VA",0.079067832,0.364473764,2530,2,1853,SVR
37,"Reynolds, VA",0.079502926,0.180463265,1120,1,1236,SVR
24,"Reynolds, VA",0.080568613,0.140854473,1120,1,1236,SVR
21,"Reynolds, VA",0.081086897,0.18302689,1330,1,1853,SVR
30,"Reynolds, VA",0.081896651,0.070506557,3520,3,1236,SVR
12,"Reynolds, VA",0.083301706,0.128285746,2220,2,1236,SVR
69,"Reynolds, VA",0.083366132,0.305231334,3321,3,1236,SVR
78,"Reynolds, VA",0.08354398,0.120810622,4310,4,618,SVR
30,"Reynolds, VA",0.083967599,0.11914892,1530,1,1853,SVR
48,"Reynolds, VA",0.085727084,0.191806755,4220,4,1236,SVR
45,"Reynolds, VA",0.088197904,0.217885966,1331,1,1853,SVR
42,"Reynolds, VA",0.08826963,0.347357498,4230,4,1853,SVR
55,"Reynolds, VA",0.089328832,0.202433424,4430,4,1853,SVR
15,"Reynolds, VA",0.089934152,0.151056594,2321,2,1236,SVR
46,"Reynolds, VA",0.091863161,0.18235297,2431,2,1853,SVR
50,"Reynolds, VA",0.092088937,0.110288568,3321,3,1236,SVR
31,"Reynolds, VA",0.092623204,0.134321387,1421,1,1236,SVR
56,"Reynolds, VA",0.093114105,0.366460432,1131,1,1853,SVR
28,"Reynolds, VA",0.093353217,0.164764342,2221,2,1236,SVR
43,"Reynolds, VA",0.09433871,0.165355524,3230,3,1853,SVR
61,"Reynolds, VA",0.096189541,0.07711271,1110,1,618,SVR
62,"Reynolds, VA",0.096945878,0.296274886,1330,1,1853,SVR
68,"Reynolds, VA",0.097199434,0.11781143,3520,3,1236,SVR
32,"Reynolds, VA",0.097762567,0.319122911,2231,2,1853,SVR
47,"Reynolds, VA",0.098196036,0.161267397,2420,2,1236,SVR
31,"Reynolds, VA",0.098691233,0.240315919,3331,3,1853,SVR
39,"Reynolds, VA",0.098774916,0.112021827,1220,1,1236,SVR
3,"Reynolds, VA",0.09924185,0.399842315,3321,3,1236,SVR
38,"Reynolds, VA",0.10053481,0.13787377,3230,3,1853,SVR
31,"Reynolds, VA",0.100766217,0.182687053,2320,2,1236,SVR
51,"Reynolds, VA",0.101075626,0.121948733,1330,1,1853,SVR
67,"Reynolds, VA",0.101248498,0.126947155,3510,3,618,SVR
13,"Reynolds, VA",0.101542663,0.176356221,2620,2,1236,SVR
10,"Reynolds, VA",0.101885419,0.213499741,1210,1,618,SVR
30,"Reynolds, VA",0.10260862,0.150480933,2531,2,1853,SVR
11,"Reynolds, VA",0.102773095,0.232132079,3431,3,1853,SVR
8,"Reynolds, VA",0.103017165,0.154253347,2330,2,1853,SVR
23,"Reynolds, VA",0.103190364,0.125718115,2531,2,1853,SVR
72,"Reynolds, VA",0.104499223,0.321130234,2330,2,1853,SVR
70,"Reynolds, VA",0.104603321,0.072628258,3520,3,1236,SVR
30,"Reynolds, VA",0.104991161,0.323509973,2530,2,1853,SVR
57,"Reynolds, VA",0.105776773,0.160854792,3421,3,1236,SVR
60,"Reynolds, VA",0.105854053,0.196527151,4520,4,1236,SVR
8,"Reynolds, VA",0.107483855,0.171320582,1321,1,1236,SVR
8,"Reynolds, VA",0.107610557,0.184091,1220,1,1236,SVR
39,"Reynolds, VA",0.108480287,0.1698081,2330,2,1853,SVR
39,"Reynolds, VA",0.10864109,0.136234123,4110,4,618,SVR
81,"Reynolds, VA",0.108710198,0.204429882,3230,3,1853,SVR
57,"Reynolds, VA",0.108881001,0.142689777,1621,1,1236,SVR
27,"Reynolds, VA",0.109301915,0.143124752,1321,1,1236,SVR
13,"Reynolds, VA",0.109454861,0.059372282,2610,2,618,SVR
30,"Reynolds, VA",0.109919217,0.184429429,3420,3,1236,SVR
20,"Reynolds, VA",0.111710209,0.212263006,2511,2,618,SVR
49,"Reynolds, VA",0.114063573,0.12462291,4430,4,1853,SVR
3,"Reynolds, VA",0.11449305,0.21859914,4420,4,1236,SVR
19,"Reynolds, VA",0.115922611,0.100788212,4221,4,1236,SVR
43,"Reynolds, VA",0.116341656,0.284461076,3631,3,1853,SVR
45,"Reynolds, VA",0.116350935,0.182666607,1230,1,1853,SVR
27,"Reynolds, VA",0.116608337,0.157248249,1431,1,1853,SVR
44,"Reynolds, VA",0.116877046,0.089851866,4210,4,618,SVR
27,"Reynolds, VA",0.117579296,0.152891904,4221,4,1236,SVR
32,"Reynolds, VA",0.118025939,0.133028757,1220,1,1236,SVR
8,"Reynolds, VA",0.118058553,0.08380962,4220,4,1236,SVR
32,"Reynolds, VA",0.119340075,0.12456666,2321,2,1236,SVR
33,"Reynolds, VA",0.119899297,0.305189219,3121,3,1236,SVR
26,"Reynolds, VA",0.119944555,0.272380284,1510,1,618,SVR
71,"Reynolds, VA",0.121596584,0.21426251,2421,2,1236,SVR
30,"Reynolds, VA",0.121781942,0.306958831,3621,3,1236,SVR
44,"Reynolds, VA",0.121980138,0.1305246,3120,3,1236,SVR
57,"Reynolds, VA",0.122133751,0.190316884,2521,2,1236,SVR
22,"Reynolds, VA",0.122381371,0.273218006,1630,1,1853,SVR
30,"Reynolds, VA",0.122444081,0.240607487,2630,2,1853,SVR
18,"Reynolds, VA",0.122771733,0.145493571,3130,3,1853,SVR
14,"Reynolds, VA",0.123746235,0.13418102,4421,4,1236,SVR
44,"Reynolds, VA",0.123802678,0.382210724,3321,3,1236,SVR
50,"Reynolds, VA",0.124077146,0.268911364,1620,1,1236,SVR
37,"Reynolds, VA",0.124260481,0.174162039,1411,1,618,SVR
48,"Reynolds, VA",0.124605991,0.316374154,2231,2,1853,SVR
