Variable,Importance,Model
Z,62.669718,RF
CI_Z,44.616291,RF
CI_under,39.166502,RF
sfa2,36.714142,RF
CI_Carea,36.661352,RF
SILVA2,36.32121,RF
sfa1,35.25775,RF
SILVA1,32.841084,RF
CI_sfa5,31.687614,RF
HTLC.x,31.558423,RF
vol1,30.757684,RF
Carea,30.438945,RF
vol2,29.818239,RF
CI_vol1,29.602098,RF
vol5,29.489931,RF
CI_sfa4,28.757749,RF
CI_mCDst,28.57039,RF
sfa5,28.530495,RF
CI_vol4,27.975264,RF
CI_vol3,27.815327,RF
CI_sfa1,27.505911,RF
CI_sfa2,26.892082,RF
CI_vol5,26.730262,RF
CI_vol2,26.286836,RF
CI_sfa3,26.225581,RF
sfa3,25.687419,RF
mCDst,24.002899,RF
UndPrp,23.583919,RF
sfa4,22.025533,RF
CArea_1,21.192136,RF
vol3,20.957047,RF
CI_HTLC,20.430754,RF
vol4,19.468045,RF
CLAI,18.172811,RF
CI_under2,17.079071,RF
UndTF,11.516046,RF
CI_CArea_1,10.891536,RF
CI_LAI,9.837771,RF
sfa2,69.46660362,SVR
HTLC.x,68.81477023,SVR
sfa4,67.08881723,SVR
CI_LAI,61.04923451,SVR
sfa1,53.03417728,SVR
UndPrp,46.63854047,SVR
Z,42.33670567,SVR
CI_Z,40.91556879,SVR
sfa5,22.28936528,SVR
sfa3,20.62221017,SVR
NA,19.4359615,SVR
vol4,17.33581884,SVR
vol3,16.74639222,SVR
CI_vol1,15.78731851,SVR
vol5,14.14945399,SVR
CI_HTLC,14.08525506,SVR
vol1,13.46247424,SVR
SILVA1,11.0357087,SVR
CArea_1,8.135215123,SVR
CI_vol3,7.22832284,SVR
CI_sfa4,6.428652113,SVR
CI_sfa3,6.325487419,SVR
UndTF,6.313088553,SVR
CI_sfa2,5.991130929,SVR
CI_vol5,3.979722008,SVR
CI_vol4,3.314630638,SVR
CI_CArea_1,3.214176877,SVR
SILVA2,2.50811526,SVR
CI_sfa5,2.032245872,SVR
vol2,1.722492189,SVR
CI_sfa1,1.542424997,SVR
CI_under2,1.273924947,SVR
CI_vol2,1.1921719,SVR
CI_mCDst,0.495400283,SVR
CI_under,0.329181446,SVR
CI_Carea,0.267805567,SVR
Carea,0,SVR
mCDst,0,SVR
CLAI,-0.056933252,SVR
