study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,1,RH-1110-1,618,9,0.09314351,0.096194301,RF
RH,1110,1,RH-1110-1,618,10,0.105557444,0.102990563,RF
RH,1110,1,RH-1110-1,618,11,0.114384406,0.115619882,RF
RH,1110,1,RH-1110-1,618,12,0.118964908,0.120159543,RF
RH,1110,1,RH-1110-1,618,13,0.133380449,0.144709323,RF
RH,1110,1,RH-1110-1,618,14,0.143556717,0.146813529,RF
RH,1110,1,RH-1110-1,618,15,0.148815744,0.147935948,RF
RH,1110,2,RH-1110-2,618,9,0.165279652,0.15333656,RF
RH,1110,2,RH-1110-2,618,10,0.201314926,0.170985237,RF
RH,1110,2,RH-1110-2,618,11,0.248601048,0.237070619,RF
RH,1110,2,RH-1110-2,618,12,0.285808538,0.254558343,RF
RH,1110,2,RH-1110-2,618,13,0.32582663,0.337420904,RF
RH,1110,2,RH-1110-2,618,14,0.377462249,0.352777007,RF
RH,1110,2,RH-1110-2,618,15,0.423396672,0.406673267,RF
RH,1110,3,RH-1110-3,618,9,0.227645531,0.215683625,RF
RH,1110,3,RH-1110-3,618,10,0.248601048,0.24817022,RF
RH,1110,3,RH-1110-3,618,11,0.334162022,0.330249796,RF
RH,1110,3,RH-1110-3,618,12,0.395525844,0.378344129,RF
RH,1110,3,RH-1110-3,618,13,0.442482998,0.460428255,RF
RH,1110,3,RH-1110-3,618,14,0.512336328,0.49160805,RF
RH,1110,3,RH-1110-3,618,15,0.575748263,0.580835987,RF
RH,1110,5,RH-1110-5,618,9,0.101309875,0.101052444,RF
RH,1110,5,RH-1110-5,618,10,0.10991543,0.104144788,RF
RH,1110,5,RH-1110-5,618,11,0.123657462,0.121670826,RF
RH,1110,5,RH-1110-5,618,12,0.138411737,0.124931059,RF
RH,1110,5,RH-1110-5,618,13,0.143556717,0.151173541,RF
RH,1110,5,RH-1110-5,618,14,0.159676957,0.153573161,RF
RH,1110,5,RH-1110-5,618,15,0.165279652,0.160267075,RF
RH,1110,6,RH-1110-6,618,9,0.351159544,0.297782217,RF
RH,1110,6,RH-1110-6,618,10,0.43288997,0.366494906,RF
RH,1110,6,RH-1110-6,618,11,0.512336328,0.437948246,RF
RH,1110,6,RH-1110-6,618,12,0.597556076,0.505967008,RF
RH,1110,6,RH-1110-6,618,13,0.6534248,0.627543708,RF
RH,1110,6,RH-1110-6,618,14,0.722765998,0.649062329,RF
RH,1110,6,RH-1110-6,618,15,0.782191283,0.719975975,RF
RH,1110,7,RH-1110-7,618,9,0.248601048,0.227681025,RF
RH,1110,7,RH-1110-7,618,10,0.309485951,0.278676278,RF
RH,1110,7,RH-1110-7,618,11,0.351159544,0.335186015,RF
RH,1110,7,RH-1110-7,618,12,0.43288997,0.392435164,RF
RH,1110,7,RH-1110-7,618,13,0.481831919,0.488487561,RF
RH,1110,7,RH-1110-7,618,14,0.564966325,0.515062523,RF
RH,1110,7,RH-1110-7,618,15,0.619678816,0.592738255,RF
RH,1110,8,RH-1110-8,618,9,0.040571185,0.044552115,RF
RH,1110,8,RH-1110-8,618,10,0.053034959,0.04776559,RF
RH,1110,8,RH-1110-8,618,11,0.058696093,0.061249057,RF
RH,1110,8,RH-1110-8,618,12,0.071224258,0.064780457,RF
RH,1110,8,RH-1110-8,618,13,0.074613233,0.081130807,RF
RH,1110,8,RH-1110-8,618,14,0.081705833,0.082962183,RF
RH,1110,8,RH-1110-8,618,15,0.085411106,0.086339395,RF
RH,1110,9,RH-1110-9,618,9,0.241501249,0.226955397,RF
RH,1110,9,RH-1110-9,618,10,0.30148184,0.277630635,RF
RH,1110,9,RH-1110-9,618,11,0.359820368,0.34038886,RF
RH,1110,9,RH-1110-9,618,12,0.423396672,0.390440851,RF
RH,1110,9,RH-1110-9,618,13,0.49190749,0.494845421,RF
RH,1110,9,RH-1110-9,618,14,0.575748263,0.521963427,RF
RH,1110,9,RH-1110-9,618,15,0.630854284,0.619553598,RF
RH,1110,11,RH-1110-11,618,9,0.220890031,0.211333794,RF
RH,1110,11,RH-1110-11,618,10,0.293589176,0.254249962,RF
RH,1110,11,RH-1110-11,618,11,0.351159544,0.33461746,RF
RH,1110,11,RH-1110-11,618,12,0.423396672,0.375029066,RF
RH,1110,11,RH-1110-11,618,13,0.49190749,0.490112642,RF
RH,1110,11,RH-1110-11,618,14,0.575748263,0.514952029,RF
