age_group,feature,pct_increase_in_mse,model
9,Carea,52.92430057,RF
9,mCDst,13.93759844,RF
9,Z,134.8146398,RF
9,CArea_1,8.153533143,RF
9,htlc,10.45372704,RF
9,CLAI,9.943879554,RF
9,vol1,7.132618229,RF
9,vol2,6.956700311,RF
9,vol3,6.35023288,RF
9,vol4,20.72986362,RF
9,vol5,140.0261801,RF
9,sfa1,11.34848915,RF
9,sfa2,20.81416376,RF
9,sfa3,9.777351304,RF
9,sfa4,17.53849788,RF
9,sfa5,85.70157659,RF
9,UndTF,1.380792447,RF
9,UndPrp,8.988089357,RF
9,CI_Carea,46.22965555,RF
9,CI_CArea_1,8.557473951,RF
9,CI_Z,43.09449575,RF
9,CI_mCDst,60.10396436,RF
9,CI_LAI,8.955453213,RF
9,CI_HTLC,10.60296426,RF
9,CI_under,30.75238126,RF
9,CI_under2,4.21387528,RF
9,CI_vol1,13.94321479,RF
9,CI_vol2,7.320481528,RF
9,CI_vol3,5.495232138,RF
9,CI_vol4,5.918233851,RF
9,CI_vol5,7.043101812,RF
9,CI_sfa1,6.621583924,RF
9,CI_sfa2,5.546164084,RF
9,CI_sfa3,5.954875876,RF
9,CI_sfa4,5.620888214,RF
9,CI_sfa5,6.381376718,RF
9,SILVA1,34.49490617,RF
9,SILVA2,24.99514836,RF
9,age,-4.20E-15,RF
10,Carea,67.50215358,RF
10,mCDst,15.99425345,RF
10,Z,143.4736549,RF
10,CArea_1,8.055151678,RF
10,htlc,12.9622781,RF
10,CLAI,9.48551925,RF
10,vol1,7.503769866,RF
10,vol2,6.779275574,RF
10,vol3,6.211463464,RF
10,vol4,18.43105773,RF
10,vol5,140.0235531,RF
10,sfa1,11.0202089,RF
10,sfa2,21.45635334,RF
10,sfa3,9.013707929,RF
10,sfa4,15.63198101,RF
10,sfa5,87.93317741,RF
10,UndTF,1.249534534,RF
10,UndPrp,7.717956376,RF
10,CI_Carea,46.61360807,RF
10,CI_CArea_1,8.440696874,RF
10,CI_Z,51.91721182,RF
10,CI_mCDst,59.01885472,RF
10,CI_LAI,8.710908776,RF
10,CI_HTLC,11.77952622,RF
10,CI_under,24.91543553,RF
10,CI_under2,4.002112754,RF
10,CI_vol1,15.20620175,RF
10,CI_vol2,7.46987926,RF
10,CI_vol3,5.306193435,RF
10,CI_vol4,5.542039708,RF
10,CI_vol5,6.653434667,RF
10,CI_sfa1,6.998855407,RF
10,CI_sfa2,5.302811867,RF
10,CI_sfa3,5.481867062,RF
10,CI_sfa4,5.070634234,RF
10,CI_sfa5,6.0308259,RF
10,SILVA1,37.32001705,RF
10,SILVA2,25.91732568,RF
10,age,3.41E-16,RF
11,Carea,82.53536051,RF
11,mCDst,19.17765707,RF
11,Z,167.1797627,RF
11,CArea_1,9.317330789,RF
11,htlc,15.71482701,RF
11,CLAI,9.70798984,RF
11,vol1,7.400390184,RF
11,vol2,7.510375431,RF
11,vol3,6.599488468,RF
11,vol4,19.27756769,RF
11,vol5,164.3389177,RF
11,sfa1,10.26663622,RF
11,sfa2,26.12721158,RF
11,sfa3,10.2760542,RF
11,sfa4,16.26306888,RF
11,sfa5,96.16385311,RF
11,UndTF,0.757057504,RF
11,UndPrp,4.70488937,RF
11,CI_Carea,59.63506239,RF
11,CI_CArea_1,8.063653414,RF
11,CI_Z,86.47476735,RF
11,CI_mCDst,62.87221361,RF
11,CI_LAI,8.278718124,RF
11,CI_HTLC,14.48922193,RF
11,CI_under,15.39468264,RF
11,CI_under2,3.190475107,RF
11,CI_vol1,14.91126993,RF
11,CI_vol2,7.654490995,RF
11,CI_vol3,5.593913908,RF
11,CI_vol4,5.49596103,RF
11,CI_vol5,6.799028839,RF
11,CI_sfa1,6.702869252,RF
11,CI_sfa2,5.545765327,RF
11,CI_sfa3,5.538779722,RF
11,CI_sfa4,5.16793397,RF
11,CI_sfa5,6.506848042,RF
11,SILVA1,30.03063898,RF
11,SILVA2,22.21900524,RF
11,age,-1.05E-14,RF
12,Carea,97.37658807,RF
12,mCDst,19.33619554,RF
12,Z,153.591208,RF
12,CArea_1,9.485957571,RF
12,htlc,15.08218441,RF
12,CLAI,9.234673038,RF
12,vol1,7.753780081,RF
12,vol2,7.516616221,RF
12,vol3,6.582808383,RF
12,vol4,17.90598305,RF
12,vol5,166.0014461,RF
12,sfa1,9.969758471,RF
12,sfa2,27.27558459,RF
12,sfa3,10.62903812,RF
12,sfa4,15.28429403,RF
12,sfa5,94.61742034,RF
12,UndTF,0.781025987,RF
12,UndPrp,4.442643152,RF
12,CI_Carea,57.86333744,RF
12,CI_CArea_1,8.161135156,RF
