feature,pct_increase_in_mse,model
vol5,167.923351,RF
CI_Z,166.7874087,RF
Z,161.8401994,RF
Carea,134.0713694,RF
sfa5,96.10581905,RF
CI_Carea,77.19506444,RF
CI_mCDst,58.48807002,RF
SILVA1,31.82594672,RF
sfa2,26.68046156,RF
mCDst,21.14597389,RF
SILVA2,19.43589212,RF
htlc,16.5243068,RF
vol4,16.4096885,RF
sfa4,14.47738485,RF
CI_under,14.26528741,RF
CI_vol1,14.2433481,RF
CI_HTLC,12.20618897,RF
sfa3,11.86146156,RF
CArea_1,11.40404498,RF
CLAI,9.599741336,RF
sfa1,9.572556802,RF
CI_LAI,8.378435617,RF
CI_CArea_1,7.864878249,RF
vol1,7.575804223,RF
vol2,7.298953805,RF
CI_vol2,7.281301821,RF
CI_sfa1,6.885215467,RF
vol3,6.506758544,RF
CI_sfa5,6.410354284,RF
CI_vol5,6.289251196,RF
CI_sfa3,5.641972528,RF
CI_sfa2,5.457982502,RF
CI_vol4,5.297480951,RF
CI_vol3,5.195948394,RF
CI_sfa4,5.105298637,RF
UndPrp,4.806010234,RF
CI_under2,2.919822387,RF
UndTF,0.753056709,RF
CI_Z,182.9909086,SVR
sfa2,159.2036775,SVR
vol5,142.2775933,SVR
Carea,106.9300399,SVR
sfa5,106.3368977,SVR
vol2,100.5738583,SVR
CI_mCDst,95.94627141,SVR
Z,94.92637401,SVR
CI_Carea,92.33724699,SVR
sfa1,58.30156867,SVR
vol1,53.00956373,SVR
mCDst,49.82984413,SVR
CI_sfa3,44.23640892,SVR
CI_sfa2,43.85131817,SVR
CI_sfa4,38.81422521,SVR
CI_vol3,38.46059988,SVR
vol4,37.38573132,SVR
vol3,33.91177208,SVR
SILVA1,32.76466117,SVR
sfa3,32.03849997,SVR
CI_sfa5,30.66405475,SVR
htlc,30.54090104,SVR
sfa4,28.38870083,SVR
CI_sfa1,27.80596168,SVR
CI_vol1,22.69455297,SVR
CI_under,19.58489947,SVR
SILVA2,19.00987018,SVR
UndPrp,18.60242548,SVR
CI_vol2,16.4768576,SVR
CI_vol5,15.85184844,SVR
CLAI,13.25502431,SVR
CArea_1,13.2315566,SVR
CI_vol4,12.82548514,SVR
UndTF,12.7271399,SVR
CI_HTLC,12.25785183,SVR
CI_under2,8.484512586,SVR
CI_CArea_1,5.340692295,SVR
CI_LAI,2.280628171,SVR
