plot_ID,Vol_m3,area_ha,tph,pred_GRU,pred_RF,pred_LSTM,pred_XGBoost,pred_LightGBM,pred_SVR,pred_GBM,thinning_status
7,93.77646882,0.079625519,1406.579956,133.8273349,134.7597934,111.8289728,160.2556839,163.3009449,120.6452644,135.3040355,Unthinned
10,164.4741201,0.079623469,1017.289978,130.51569,93.16411835,124.0004502,70.51833424,91.31814326,84.87167901,72.09632219,Unthinned
11,140.4741649,0.079623182,1168,122.6318109,117.7184452,118.4063706,99.77304348,104.6817749,104.582304,105.5397297,Thinned
16,101.6294892,0.079622559,1193.130005,119.3064644,128.9470277,117.4374715,121.1306082,159.7315216,119.3078285,109.903336,Unthinned
17,102.6209988,0.07962308,1281.040039,116.9622426,113.9952556,119.7702726,105.1445762,90.03521448,104.7747288,124.3753132,Unthinned
19,108.6512493,0.079621726,1356.410034,134.9700206,124.0999335,120.8351223,141.984601,115.8447935,107.7484869,123.869085,Unthinned
20,96.75760056,0.079621652,941.9550171,95.67088611,114.1413674,123.0061265,77.29936324,123.8697878,125.6523818,82.47391053,Unthinned
25,110.1553804,0.079623891,1456.849976,128.6308151,128.4591513,131.8692401,109.2123845,135.1520473,136.4623574,108.0542904,Unthinned
26,62.04173108,0.079623826,1180.550049,116.1629184,100.5306416,94.21532947,92.34448242,92.64740019,95.91070095,104.1093703,Unthinned
31,247.1671028,0.079662705,1380.819946,131.3961031,181.8899253,135.8148961,179.4023565,186.7020202,133.5284627,217.522842,Unthinned
34,129.1558927,0.079663419,564.8770142,131.5594238,138.5375987,135.8607267,132.5122764,123.8366236,92.94490378,120.3728527,Thinned
46,301.2808657,0.079620058,1544.839966,86.9392484,125.2206005,80.22246103,127.0940421,112.3280876,117.3006234,109.7451886,Unthinned
47,273.2352033,0.079620048,1682.98999,121.9036316,100.838001,119.1993253,108.2685607,101.7710129,106.2062012,77.80302975,Unthinned
56,183.4544785,0.079616481,1670.51001,135.8667686,129.613102,135.6378964,119.1122979,137.8156868,159.3417844,101.909076,Unthinned
61,97.31285522,0.079619491,1519.729981,90.18169433,108.7447488,115.7081499,109.7195158,83.25323887,109.328221,90.51011711,Unthinned
67,26.75200582,0.079620198,1218.280029,27.49878366,59.33682069,46.14132459,40.27645096,53.95100836,69.67430492,55.15440465,Unthinned
68,133.8702478,0.079621874,414.4590149,27.72371321,43.88910649,31.44827513,23.35076163,22.57212798,29.13071482,22.89321856,Thinned
69,313.0320524,0.079624434,502.3580017,132.1410963,83.61123662,125.3195219,78.17280058,65.46986765,71.92349361,71.84092001,Unthinned
74,70.58134944,0.079624434,565.1529785,132.1410963,83.61123662,125.3195219,78.17280058,65.46986765,71.92349361,71.84092001,Unthinned
76,265.6434104,0.07962554,326.5280151,136.0844146,163.8539189,136.0866124,111.6459493,100.4727331,95.12959755,89.24106794,Thinned
85,31.88455035,0.079631043,75.3475037,24.57457703,38.70926671,18.18912004,26.67204296,39.53952968,24.54847149,21.3691941,Thinned
91,32.55004063,0.079631237,87.9051971,31.1137726,33.81760296,30.54135276,39.59980931,26.8774723,24.98505245,35.14731369,Thinned
93,18.65039394,0.079622983,138.151001,18.60067212,20.43027589,15.03614855,26.32469823,20.71136551,27.29577166,26.32759941,Unthinned
102,27.63991934,0.079631202,87.9051971,29.12150817,34.57473676,32.166444,37.50497198,40.43117165,31.43764189,37.20596895,Thinned
105,11.20281919,0.079622815,100.473999,15.98434067,22.73815352,10.46269841,32.55052588,25.05824528,6.521732521,26.24195065,Unthinned
109,35.16204428,0.07963132,87.905098,40.46510845,38.04439572,41.05475333,44.88783685,34.13744054,41.01542716,46.92815756,Thinned
110,22.04300471,0.079617095,163.2819977,12.31219878,18.5700784,11.74713044,8.509664916,15.76632973,11.76276079,13.48725669,Unthinned
120,17.46794776,0.079631564,62.7891998,54.57158923,45.93383474,52.55416558,59.43008478,47.30194657,76.57907817,50.87218922,Thinned
126,42.52091191,0.079631406,100.4629974,48.60766869,39.32341849,48.37169772,45.10353616,34.80671937,54.25767891,44.11670304,Thinned
133,14.88268339,0.079622738,150.7109985,16.82791918,20.14301638,13.15309328,11.67308514,18.17455603,41.12576002,14.28696211,Unthinned
137,22.04308278,0.079616813,163.2819977,20.30458943,65.62239923,23.79851602,46.1033601,102.2440189,34.3643252,41.65257993,Unthinned
138,13.63933435,0.079622654,138.1519928,17.09902436,20.04006269,12.74083881,20.94921126,17.94990659,20.93264289,22.82767411,Unthinned
143,10.46251698,0.079617553,138.1600037,17.90101487,25.92597792,16.47997019,28.14902638,27.64185972,17.94157119,30.91016278,Unthinned
148,21.4614472,0.079631163,62.7895012,24.90570432,37.294035,24.68939076,31.61443718,36.05815046,27.46042166,36.29770992,Thinned
153,26.59760164,0.07963124,125.5790024,31.25386469,38.54025297,33.90007364,43.56320208,42.98224609,40.38826218,36.92645703,Thinned
165,13.6015842,0.079623078,87.9141998,18.58408815,18.6617187,17.18705097,15.96531473,17.09358881,11.29220405,17.55147224,Unthinned
168,12.59686398,0.079622992,113.0329971,15.40978013,19.69773285,13.64510643,22.83928491,20.71401671,8.339414387,23.13946645,Unthinned
171,18.91413428,0.079622994,125.5920029,32.37993914,38.25192877,28.96972324,26.64692815,36.76627022,33.15794622,28.78031171,Unthinned
176,56.38454723,0.079631747,602.7750244,29.17089587,36.03175114,15.99433201,28.93980211,31.27547686,24.2491388,27.73892538,Thinned
178,51.88141463,0.079623889,37.6771011,37.53725845,51.39301076,39.26534912,53.00968909,46.19884087,51.30027524,47.05158132,Thinned
182,34.3334023,0.079630908,100.4639969,20.12815175,39.21452637,26.93451894,39.91024565,48.69198542,59.58550363,35.68453867,Thinned
184,35.53794459,0.079633193,113.0179977,45.07470898,31.14645144,45.90299676,35.31725772,32.15924064,37.28558135,35.70728037,Thinned
200,27.84344634,0.079623764,12.5591002,51.35092584,68.66841132,56.27509646,91.06403963,75.96813395,57.51577525,71.1204434,Thinned
205,20.3472944,0.079617465,150.720993,6.373353635,22.70615153,10.27807467,21.30931699,20.09374692,20.37270503,22.18558333,Unthinned
206,18.52474088,0.079623246,100.4729996,17.91088371,22.04424502,16.73462798,20.13673494,14.8559402,20.49413384,17.75885991,Unthinned
212,15.27303124,0.079617463,163.2810059,23.03885644,20.7403857,23.38556555,32.66364315,18.39979902,30.96571778,29.44805937,Unthinned
227,15.10863201,0.079623357,37.6773987,21.93256936,25.46024435,49.3721748,30.12962516,20.22340854,29.5910294,26.69892995,Thinned
235,44.34198417,0.079631078,163.253006,54.79105783,37.16814657,47.17804147,32.0488227,35.89994955,43.8347157,34.09969431,Thinned
243,59.76438016,0.079629371,1180.469971,127.0896577,81.55120935,133.6218642,81.36921865,91.23428961,111.7217201,118.0199661,Unthinned
